"ConceptScheme URI","https://w3id.org/sul-vocab/",,,
"PREFIX","svc","https://w3id.org/sul-vocab/",,
"PREFIX","aat","http://vocab.getty.edu/aat/",,
"dc:creator","Stanford Libraries",,,
"dct:rights","https://creativecommons.org/licenses/by/4.0/",,,
,,,,
"URI","skos:prefLabel@en","skos:exactMatch","skos:closeMatch","skos:broadMatch"
"svc:d530ef46-cc1f-40f4-8e22-37c5b0bcfeef","wash (coloring type)","aat:300011051",,
"svc:bfdeca17-1eea-4145-b7e6-dc63bd8c0856","calcium hydroxide","aat:300011737",,
"svc:0b4585f5-b40f-4dc7-815e-f04138231528","leather","aat:300011845",,
"svc:d80937d9-f26d-490b-ac96-a97899e2a85b","pigskin","aat:300011849",,
"svc:deafea86-7599-4ce9-bb21-791c7d920d81","parchment","aat:300011851",,
"svc:12b65c7a-4c5b-49b8-ad0a-630d925d8ff8","vellum","aat:300011852",,
"svc:3e94b2cb-2051-4601-bc2a-0e74ae058600","cotton cloth","aat:300014067",,
"svc:c5312759-f3a1-49f8-bc49-e4c9fd6d8a91","linen","aat:300014069",,
"svc:fc647dde-2a7c-41d9-ba33-d8c3470d1664","paper","aat:300014109",,
"svc:df2392bd-3259-4778-8011-c4138fd69955","Japanese paper","aat:300014143",,
"svc:076c78e0-a66d-4864-8baf-d57888a894ca","mill board","aat:300014233",,
"svc:a572cac4-0520-4863-94bd-27cd51456cd9","pulp board","aat:300014242",,
"svc:b9fd32b8-b856-450d-8a14-5e335be1b943","tapes (sewing support)","aat:300014685",,
"svc:164fa62c-00c3-472b-8d5e-c70f36d0443e","adhesive","aat:300014801",,
"svc:6f71c7a3-c6a8-4418-b861-20fa60b24fbb","watercolor (material)","aat:300015045",,
"svc:99c4d402-e4aa-4ef7-889f-426fbde37f27","acrylics (coloring media)","aat:300015058",,
"svc:06e0a430-31a5-4871-b1cf-7b24cb576353","solvent","aat:300015217",,
"svc:5b2d378f-1868-4a12-9974-c52c6e89004d","size (material)","aat:300015312",,
"svc:a946c0a0-0479-43c8-b59b-211177322895","original","aat:300015644",,
"svc:3d1d4e72-e2d6-4252-ad5d-70a6008055e8","colored pencil","aat:300022441",,
"svc:8eb6c1c7-9ff7-4751-a6ff-02d586e96baa","conservation technician","aat:300025823",,
"svc:e2e991b4-c766-4053-a69a-c6a0c6930ffd","report","aat:300027267",,
"svc:f2ffb4ad-8d5e-4e68-8f54-788542b67ef1","plans","aat:300027297",,
"svc:d0f801a4-56a7-47a1-956c-c4e64324c02b","labels","aat:300028730",,
"svc:8d7a1071-075a-4903-95cf-61d2c2307575","joints","aat:300033608",,
"svc:e01c1e07-facb-4118-a4c2-8e584b462008","adhesion","aat:300053010",,
"svc:47e3901b-1316-4d34-80be-1ddf4766186b","cleaning","aat:300053027",,
"svc:96ccbc03-1013-4722-a66f-982f9a9e4982","poulticing","aat:300053041",,
"svc:f812c24b-1bf9-4767-a2c2-4e4860ae2b5a","washing (cleaning))","aat:300053042",,
"svc:e9fefb5c-2ed2-4dfd-aea0-33a782b1f063","coloring","aat:300053043",,
"svc:bf37c1a2-1f95-4230-9ea4-74edfadd1927","loss filling","aat:300053092",,
"svc:dba6e6e8-5ada-45aa-82e8-fef0e8a649ec","stab sewing","aat:300053596",,
"svc:5373a19a-99ba-4c2f-bd0f-24dae9323d8e","repairing","aat:300053737",,
"svc:fb4eac08-0449-4ad8-8871-405b1bb75655","lifted","aat:300053748",,
"svc:e0acf397-1c94-481a-9d65-1b82f95f5830","deteriorated (deteriorating)","aat:300054106",,
"svc:306fbedd-34ca-4cf6-85fe-3ba622d0d6d1","testing","aat:300054695",,
"svc:c6bf36b3-1d02-4dee-a232-57f951e0c732","binding","aat:300055023",,
"svc:06a00a3d-293e-4331-8c74-1f0004a80908","cover of spine","aat:300055026",,
"svc:d222fb37-76ee-4f3e-ae8b-66e21e334ee2","spine (bookblock)","aat:300055026",,
"svc:3b468521-6359-4feb-9039-90965c3b1798","(with) heat","aat:300056020",,
"svc:497c616b-f884-4862-8a17-149526757145","damage","aat:300068940",,
"svc:72539753-592c-4ad3-81c7-c3317039ed3e","description","aat:300080091",,
"svc:afef1a19-b3c6-4ae1-835f-795a46dcfd27","iron-gall ink","aat:300081023",,
"svc:e017aabb-ae0d-4634-bcb2-a2c4f9f5dcaa","endpapers","aat:300083023",,
"svc:62dd227f-a244-4695-b9d1-fad4069718a0","conservator","aat:300102842",,
"svc:f1861071-f142-45e7-af72-82ebea4deaf1","leaves","aat:300115833",,
"svc:d110717b-2a8f-44dd-8180-99e3e645f74d","detached","aat:300131111",,
"svc:f1f80f56-7223-43c6-b307-cb77d86ad9fc","tipped (tipping in)","aat:300135036",,
"svc:f317e042-7bf6-43bd-a313-6e35a1e96aba","cloth","aat:300162391",,
"svc:85079751-ae34-430b-bff0-378b19a8b016","paste board","aat:300162474",,
"svc:bc66ae4b-33ae-4a8e-ad33-5ecabcd08da3","wooden boards","aat:300162666",,
"svc:18b83ce3-25e7-43ab-8a87-4ebae0163612","edge","aat:300190699",,
"svc:8fa5e512-d49a-4cca-bb59-871d8ea00afd","sheepskin","aat:300193374",,
"svc:7069f2bb-95a5-483f-9a45-14f0ef3a755d","sections (book part)","aat:300194226",,
"svc:2ab6b31b-45d2-4696-b03c-08418903139b","flyleaves","aat:300195150",,
"svc:5bc50df0-363f-44fc-aefc-1de4bd807797","endbands","aat:300195163",,
"svc:c9e437f8-1727-4a34-8741-3022225c4267","case binding","aat:300202317",,
"svc:25d585d3-336f-4904-bf24-b2ff5f7ce280","boards","aat:300202819",,
"svc:1958359c-9810-43cb-b538-2c90c1656fd8","pastedown","aat:300208775",,
"svc:a0c86bb0-0496-4ecb-8c82-4a7ed6e720ab","quarter binding","aat:300211465",,
"svc:8841624a-f193-4b9d-a224-534fb7459cbb","wheat starch paste","aat:300212564",,
"svc:ec33177f-d53e-48c6-bec6-891b1cf73706","dry cleaning","aat:300219637",,
"svc:93c99abc-d368-44f3-8d72-93f62d135e69","consolidation","aat:300219960",,
"svc:7a98d0be-2ac6-4582-acf3-db2a2c9a1c7b","deacidification","aat:300220267",,
"svc:915ae58b-9d7e-4233-8420-9744a2748e0e","aqueous","aat:300221165",,
"svc:36ededb5-3dad-4f46-bc4b-d91f3eaf5a14","visible","aat:300222224",,
"svc:602d1a9d-8a26-4ed7-a258-8a5468929758","invisible","aat:300222225",,
"svc:79766733-f798-45ea-8d42-019c8af730f8","wetting","aat:300223790",,
"svc:75d6a99d-50c1-439c-a6b2-ee5d51becfe2","removing (treatment action)","aat:300224146",,
"svc:9086f43b-2e3f-429d-9dc3-961e97b9befd","volume","aat:300224962",,
"svc:dc449fb0-76ee-459a-b1b2-60ea1fe778f0","visual inspection","aat:300225740",,
"svc:89eb55de-74bb-4e84-8025-fe27ade76ff6","flattening","aat:300226345",,
"svc:7f268558-4748-4e15-8f7e-7ed7123892c0","calf skin","aat:300227525",,
"svc:0eac9923-e892-46c9-b848-d5b83aa533bf","linings","aat:300227846",,
"svc:896d1743-8bf7-4f16-923a-bd3c89814500","creases","aat:300228802",,
"svc:40088169-31a6-4cb7-9786-5ee13458a85c","stamping","aat:300239001",,
"svc:d5b5ebec-3c9d-4f97-81b0-eb030570dd15","guard","aat:300248893",,
"svc:40f83af1-2484-42ea-9beb-7bd4b82c7dba","mold (fungus)","aat:300252028",,
"svc:9acecc44-d175-4d1e-aabf-7970882efede","blind tooling","aat:300252855",,
"svc:38b8af19-0c33-4680-9e86-88de743615c3","split (condition state)","aat:300252881",,
"svc:514ffbf8-7a5f-40f5-ae91-de56cf02d608","torn (tearing)","aat:300252881",,
"svc:e8b3bf39-2656-4970-9d5c-94eaa2c8c652","cords/thongs","aat:300253051",,
"svc:67207703-5fac-41f4-8850-5226600123fc","hinges (book part)","aat:300254358",,
"svc:552fb840-468a-4c02-9efe-d46d8a4bcb73","goat skin","aat:300255984",,
"svc:70967813-c6be-4519-b284-99108cca249a","gold tooling","aat:300256003",,
"svc:eb31cd51-b81b-41b2-b661-bbb085c1119e","copy","aat:300257688",,
"svc:117b52bb-c7b2-4a30-9436-2537bd95c4e2","laced-in boards (lacing-in)","aat:300261489",,
"svc:43431a4e-805d-4d9c-bbeb-0cb09e1ffe77","laced-in (endbands)","aat:300261489",,
"svc:8dfc9cb0-1522-44aa-9c43-9bae7b8f5d4a","spine linings","aat:300261522",,
"svc:f1bbda1e-9230-408b-b300-89b0f785e9e1","sewing","aat:300261537",,
"svc:feb220f6-5f92-4660-854d-c01ec3e25a02","sewn all along","aat:300261540",,
"svc:f9b70808-1b35-46c3-bbc6-356a1ed3d8f6","kettlestitch","aat:300261564",,
"svc:0f77e0b1-a75c-4765-9d88-b2fff9ae21b8","mending","aat:300261722",,
"svc:208d093b-8933-40de-8ced-d0b319acf0f4","stuck-on (endbands)","aat:300261769",,
"svc:f2e2ea69-8db9-4bad-b771-a72efc5ead8a","bookcloth","aat:300262673",,
"svc:16d7a2ac-ba36-4690-bc88-2386faf148ab","board attachment","aat:300263196",,
"svc:de69a040-c348-4495-b194-b16fa0cae21c","board reattachment","aat:300263196",,
"svc:1acc52a5-49e4-4b48-a2d1-9e825c77632f","sprinkled calf","aat:300263562",,
"svc:0f7f8b42-0ec8-4104-b7cb-36a50a0eed18","extended linings","aat:300263626",,
"svc:b2540530-85f9-4f75-84ea-f115ab4932ec","hinge/joint extensions","aat:300263626",,
"svc:20d3b60f-7c31-4be8-8ecb-6df87c330ace","marbled","aat:300265095",,
"svc:8dc2f1d1-2c59-4541-937a-cdff2e08a975","decorative paper","aat:300265580",,
"svc:9fdf9a9a-7b40-4668-ade3-e3af487e9973","paste paper","aat:300265580",,
"svc:4705ae4f-02e7-4b56-85b3-6376c8418841","adhesive tape","aat:300310136",,
"svc:b57f4a20-b3a6-44d6-a656-e507a3005f2f","water damage","aat:300379358",,
"svc:42b5a77f-1515-497d-98a0-ee8e926c332b","photodoc","aat:300379366",,
"svc:ccd4166e-f62f-4cb7-b800-b65631159a52","previously repaired","aat:300379377",,
"svc:fe14911b-d7c7-44ab-bf4b-ca28121615bf","soft","aat:300379468",,
"svc:a09a4c30-886e-4c2a-afb5-5ea0451cb409","tidelines","aat:300379484",,
"svc:d6cf45ad-a83b-4a1b-a37f-b027787c2c8d","methyl cellulose","aat:300379550",,
"svc:b00b03db-a498-4627-b863-b892abcbbe05","powdery (leather condition state)","aat:300379824",,
"svc:fab56298-7e2a-4275-9e32-be43f343f5f2","detached leaves","aat:300379890",,
"svc:8cdc1588-36fe-4cc1-ab56-c10498bbc69a","vacuum","aat:300380467",,
"svc:ba36bb81-8115-47b8-883e-f724d035c359","reattaching","aat:300387405",,
"svc:28acc7d7-c73e-4c73-b58a-8626bb9a1878","completion","aat:300390560",,
"svc:7275189b-b087-45c0-a06b-59108df18519","other","aat:300400513",,
"svc:95545ef7-cbdd-4ed2-a609-dc18f1f231ee","unique identifiers","aat:300404012",,
"svc:8850c675-f1ee-4a0a-84b3-909e5c7340eb","conservation","aat:300404519",,
"svc:b905b63a-47d0-43e4-806f-5f5ceb9c4f86","handmade paper","aat:300411543",,
"svc:1d28c0c0-22b3-4c43-b757-71da04bfc568","documentation (activity)","aat:300417196",,
"svc:d123dfa2-86b1-49a4-93f0-c8828f206da2","short title","aat:300417199",,
"svc:acfc5013-3a98-4cef-b7f9-b53d8b0866f9","back",,"aat:300010287",
"svc:fa8e051d-a12f-49a8-a10f-7a3195054ea4","blotter",,"aat:300014148",
"svc:b3a90756-a866-4043-be31-e71786f95d4c","PVA",,"aat:300014507",
"svc:b9446e20-b8fe-4101-81a0-10d9ba4549b1","video (documentation)",,"aat:300028682",
"svc:bfaaba8b-e85a-4e1f-9bd1-4abbc4de975a","broken",,"aat:300053083",
"svc:485f3bec-2d30-4911-b3ee-d0f43761265e","gouache",,"aat:300070114",
"svc:b3eaf2b6-1241-407e-90a3-7732cdf052d9","front",,"aat:300078767",
"svc:26a72328-77c2-4af3-b490-78af2e18a301","verso",,"aat:300078817",
"svc:f46e7ddf-9323-4962-a966-79d3f6a9292f","recto",,"aat:300078817",
"svc:0e7a96db-97f7-44e8-8b7d-3030a86dfdb1","sewn around first and last sections (technique)",,"aat:300194226",
"svc:ab554929-a2eb-4c05-a709-40bb76be7037","textblock",,"aat:300195190",
"svc:ff021026-2658-4b2c-a22e-400db1d0e429","half binding",,"aat:300211457",
"svc:d0ff8817-9098-449c-b964-51f8a4487e3d","adhesive only (binding)",,"aat:300211469",
"svc:5c969c5c-9d42-4119-99fc-fc714df2608e","mold damage",,"aat:300378932",
"svc:c9c5e34b-0c12-4f15-919c-898a2ca0e41a","stain",,"aat:300379497",
"svc:d29b09b8-f74a-4040-bd46-586324df566b","case paper",,"aat:300379687",
"svc:70dac390-06d8-44e5-a342-14862bcacce0","condition",,"aat:300389724",
"svc:71c903ed-4b6c-430c-8ffd-a842d3d501f7","metal fasteners",,"aat:300427422",
"svc:04a9b520-244f-4525-819d-06025295d8b8","Western paper",,,"aat:300014109"
"svc:96a3205f-9cb8-43a6-8987-eb2474768922","sewn (endbands)",,,"aat:300195163"
"svc:dbc18d9f-643d-4854-9542-df9f8b5b60d1","laced case",,,"aat:300211478"
"svc:1b301859-6cef-4792-8060-fea38f45c7ed","raised cords",,,"aat:300253051"
"svc:32198755-8723-4796-84b6-3716e673ecdb","recessed cords",,,"aat:300253051"
"svc:00948a1a-13cd-4748-a7c6-4b0186ec79b8","extended head and tail (spine linings)",,,"aat:300261522"
"svc:3a8df669-feaf-4736-8c58-dae6249cb5d6","full spine (spine linings)",,,"aat:300261522"
"svc:bc0e5c58-aaa5-4e85-8a94-892871b00a9e","head and tail (spine linings)",,,"aat:300261522"
"svc:caa2e47b-640c-4bde-b3cf-c8b8881bcb82","extended full spine (spine linings)",,,"aat:300261522"
"svc:8ec91991-ff8f-4879-b08f-f9ce9741f960","alum tawed",,"aat:300263575",
"svc:bec752f3-c694-4e75-b98d-c81ad4e7b019","cover","aat:300196838",,
"svc:d4eb8b9f-ded5-4194-a890-439f30adffbe","rebacked (rebacking)","aat:300261509",,
"svc:34fb2e2c-41df-46ab-b484-ab2c2921f915","sewing supports","aat:300263631",,
